,comentario,toxico,homofobico,obsceno,insulto,racismo,misogino,xenofobia
16743,"noventa reais numa camiseta lubinha? :( com esses mesmos noventa eu consigo comprar uma camisa preta e estampar sozinha, e ainda me sobra dinheiro pra comprar 10 salgados e um copo de suco :<",0.0,0.0,0.0,0.0,0.0,0.0,0.0
1424,Porque só tem brancos nesse grupo de humor? Se cansaram tbm ¬¬?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1048,Faltou o close mais errado de todos: gays famosos que apoiaram o Bozo.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15730,"Ninguém: 
Luba: o MeU sOnHo...",0.0,0.0,0.0,0.0,0.0,0.0,0.0
18727,"Luna vou te dizer uma coisa,ada um faz oq quer e se o winderson quiser fazer o vídeo do filme que ele assistiu ele faz que nem aquele gostas de alguns vídeos que vc faz",0.0,0.0,0.0,0.0,0.0,0.0,0.0
13465,"Eu estou perdida nas caixinhas, não sei pra qual caixinha ficar 😦",0.0,0.0,0.0,0.0,0.0,0.0,0.0
13285,"Não entendo por que vocês ficam assim só porque Bolsonaro ganhou. Eu acho que sinceramente, é melhor assim, já que toda a fragilidade que nossa economia está passando é graças a esquerda, graças ao Lula... e se Haddade ganhasse, ela poderia quebrar de vez. Sem falar que o Haddade é comunista, acredite você ou não. Sei que uma das coisas que vocês mais temem é o tal do ""preconceito gay de Bolsonaro"" e coisas do gênero.... mas no MEU ponto de vista, ele não é o que falam. Só por escorregar em algumas falas atacam ele. (O que na minha opinião é bom ele ter ""derrapado"" nessas falas, afinal só mostra sua sinceridade de falar o que pensa, e mostra que ele vai ser sincero) e sobre defender a tortura, ele não diz tortura contra que é de bem, contra quem é negro ou faz parte da comunidade LGBT+.... É difícil entender que os criminosos não vão parar até sentirem medo de cometer atos como matar e roubar?",0.0,0.0,0.0,0.0,0.0,0.0,0.0
10821,"Pras pessoas que dizem que não existem homofobia no Brasil. Que é tudo drama, mas precisa chegar até o extremo pra se dar conta .",0.0,0.0,0.0,0.0,0.0,0.0,0.0
3098,Querem respeito desrespeitando?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13033,"Caguei para os garotos, eu gosto da lição de inglês.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
9230,Bolsonaro: fascista.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17738,o luba quer ferias  r-o-l-a FERIAS!!!,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15722,"O Luba faz um video com o Jean a Tia Carminha é tu, VOCÊS TREEIXX!",0.0,0.0,0.0,0.0,0.0,0.0,0.0
19024,"Eu não tava nem rindo do vídeo, era da risada do Luba",0.0,0.0,0.0,0.0,0.0,0.0,0.0
15816,Pq é um enisnopse (não sei escrever)?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6381,n entendi pq ta cheio desses videos no em alta,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19674,Luba faz um vídeo criando um fã clube falso e começa a tretar com todo mundo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12269,"Sua voz é meu ASMR, Louie  💖",0.0,0.0,0.0,0.0,0.0,0.0,0.0
12459,"Pior que nos comentários tem gente dizendo que tem que fazer isso com todos os LGBT's
O que o mundo se tornou???",0.0,0.0,0.0,0.0,0.0,0.0,0.0
6670,Também quero virar drag!,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9506,Estou amando #OrgulhoDeSer! 2episodios e eu já me apaixonei .Estou ansiosa pra ver o próximo!  #MinhaSérieFavorita já! Haha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1032,"Alô? Quer dizer, arô? Não, péra... E vocês, quais youtubers gostariam de ver nesse quadro (em OUTRAS brincadeiras, ta! Trote foi a de hj!)?!",0.0,0.0,0.0,0.0,0.0,0.0,0.0
16800,"So Vim Aqui Pra Falar Que:






*TODDY E MELHOR QUE NESCAU*",0.0,0.0,0.0,0.0,0.0,0.0,0.0
913,2019 tá ai pode entrar Camila Cabello,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6089,Até o Shawn Mendes fugia do James...,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9165,Sou eleitor do Bolsonaro!! 😓,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9610,Pra quem acha que o aborto é confortável pra mulher...não sabe de nada! O aborto é milhões de vezes mais confortável pros homens! Sou mega a favor da descriminalização...só quem já sentiu na pele pode falar!,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2304,"GENTE EU TAVA PRECISANDO MUITO DESSE VÍDEO 

OBG 💖💖💖
aaaaaa  salvando vidas ✊😔🤧👈",0.0,0.0,0.0,0.0,0.0,0.0,0.0
14187,Vão dzer que você é branco opressor,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7539,#bolsonaro2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
