,comentario,toxico,homofobico,obsceno,insulto,racismo,misogino,xenofobia
15858,KKKKK PQP VOU BATER NESSE VAGABUNDO,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3428,"Nooooossat tava com muita saudade do Deu na Semana! Obrigado, Pedro! Eu denuncio TUDO de preconceituoso que aparece na minha timeline e NUNCA nada foi retirado do ar! Insisto por que sou trouxa e trouxisse não tem cura e nem tratamento, por sorte, preconceito tem!",1.0,0.0,1.0,1.0,0.0,0.0,0.0
7638,"Por causa da idiota da Mariah que acham que a Ari imita, sendo que falsete todo mundo pode usar",1.0,0.0,0.0,1.0,0.0,0.0,0.0
10066,"O melhor sexo que já tive o cara tinha um Pau pequeno, não consigo fazer garganta profunda mas conseguia coloca tudo na boca, então não era grande, mas poxa, melhor sexo da minha vida <3 n era giromba mas sabia usar",1.0,0.0,1.0,0.0,0.0,0.0,0.0
2101,"Adorei o eufemismo de passar cheque ""cagar no pau""",1.0,0.0,1.0,0.0,0.0,0.0,0.0
737,Mds n sabia o real significado da palavra baitola 😕,1.0,1.0,1.0,0.0,0.0,0.0,0.0
16903,Toma no cu sushi é muito bom,1.0,0.0,1.0,0.0,0.0,0.0,0.0
18538,"WTF se o cara é gay ele tem liberdade de expressão, n existe ""gay melhor"". 
Até isso a galera que por limite, vtnc irmão.",1.0,0.0,1.0,0.0,0.0,0.0,0.0
15298,O lugar ainda é biba né pvfr q seja,1.0,1.0,0.0,0.0,0.0,0.0,0.0
7201,"Ser homossexual não é uma escolha, por que se fosse, eu seria 😅 to cheia desses machos escroto, senhor!!",1.0,0.0,1.0,0.0,0.0,0.0,0.0
13265,"Joe é maluco!!! E eu tenho muito, muito, muito medo só de pensar que existem Joe's na vida real ! 
Na adolescência terminei com um ficante e ele começou a me seguir, ficava me mandando msgs querendo saber onde eu estava, passava na rua de casa em dias aleatórios e sempre ficava me ""esperando"" no ponto de ônibus na saída do cursinho à noite, fingindo acaso. Foi muito estranho! Credo!  
Eu só o achava idiota, mas sei lá, né?",1.0,0.0,1.0,1.0,0.0,0.0,0.0
837,Matéria top manas gostaria ke tivesse uma falando dos sapatão da antiga tbm,1.0,1.0,0.0,0.0,0.0,0.0,0.0
15621,Luba Seu Gayzao Lindo </3,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5977,#traveco #engajada #cultura #arrasou!,1.0,1.0,1.0,0.0,0.0,0.0,0.0
13828,"Eu acho que as pessoas que não comem glúten por dieta mas mentem que são celíacas fazem um puta desserviço. Eu trabalho tirando pedido, aí chega o abençoado e fala que é alérgico e/ou celíaco e eu explico que TODOS os pratos levam tempero pronto com glúten, exceto sanduíche no pão sem glúten, porém mesmo esses sofrem de contaminação cruzada, aí a pessoa ""ah mas não tem problema"", isso quando não pedem sopa/caldo engrossado com farinha. Eu acho que isso ajuda as pessoas e restaurantes a não levarem a sério, sabe? Mesma coisa com lactose, pede sem queijo mas mantém a maionese e vice-versa. Se a pessoa não come por dieta e não vai passar mal tudo bem, tá no direito dela, mas então não mente sobre doença né criatura?",1.0,0.0,0.0,0.0,0.0,1.0,0.0
5020,Povinho carioca escroto,1.0,0.0,1.0,0.0,0.0,0.0,1.0
8941,"Ser viado até vai, mas o anel de tucum significa Teologia da Libertação, destruir a IC a partir de dentro. A bicha é excomungada e talvez não sabe.",1.0,1.0,1.0,0.0,0.0,0.0,0.0
3000,Diego muito gostoso pqp 😈😋,1.0,0.0,1.0,0.0,0.0,0.0,0.0
